Date,Open,High,Low,Close,Volume
2024-12-02 00:00:00-05:00,161.8000030517578,162.14999389648438,147.8000030517578,147.9499969482422,33121320
2024-12-09 00:00:00-05:00,148.85000610351562,154.39999389648438,142.4499969482422,144.64999389648438,38014040
2024-12-16 00:00:00-05:00,142.64999389648438,162.5,137.6999969482422,153.75,63093300
2024-12-23 00:00:00-05:00,148.35000610351562,151.3000030517578,138.6999969482422,145.75,27743500
2024-12-30 00:00:00-05:00,151.75,160.8000030517578,148.1999969482422,149.1999969482422,41573380
2025-01-06 00:00:00-05:00,144.5,162.10000610351562,141.14999389648438,159.14999389648438,48799440
2025-01-13 00:00:00-05:00,164.89999389648438,166.39999389648438,144.4499969482422,145.9499969482422,53515760
2025-01-20 00:00:00-05:00,143.8000030517578,147.5,136.14999389648438,139.64999389648438,31735380
2025-01-27 00:00:00-05:00,154.60000610351562,155.1999969482422,137.5500030517578,145.14999389648438,63559820
2025-02-03 00:00:00-05:00,152.5,154.60000610351562,137.4499969482422,144.64999389648438,54138620
2025-02-10 00:00:00-05:00,141.14999389648438,145.4499969482422,132.39999389648438,132.9499969482422,50685000
2025-02-17 00:00:00-05:00,131.8000030517578,142.5500030517578,131.0500030517578,142.1999969482422,39553760
2025-02-24 00:00:00-05:00,140.85000610351562,168.3000030517578,139.89999389648438,157.0,86922860
2025-03-03 00:00:00-05:00,154.10000610351562,184.5,152.64999389648438,172.35000610351562,107310160
2025-03-09 23:00:00-05:00,181.1999969482422,200.0,180.64999389648438,183.64999389648438,94717660
2025-03-16 23:00:00-05:00,183.6999969482422,191.8000030517578,176.5500030517578,182.0,74017340
2025-03-23 23:00:00-05:00,173.75,192.64999389648438,165.5,191.5,72394560
2025-03-30 23:00:00-05:00,200.3000030517578,251.9499969482422,179.14999389648438,251.8000030517578,139498040
2025-04-06 23:00:00-05:00,278.29998779296875,289.0,165.85000610351562,181.10000610351562,220008340
2025-04-13 23:00:00-05:00,168.89999389648438,200.1999969482422,168.3000030517578,193.1999969482422,82327760
2025-04-20 23:00:00-05:00,201.0500030517578,214.39999389648438,157.6999969482422,158.25,110290100
2025-04-27 23:00:00-05:00,157.9499969482422,168.3000030517578,141.14999389648438,143.0500030517578,115294860
2025-05-04 23:00:00-05:00,146.75,154.14999389648438,139.5500030517578,144.0,96034080
2025-05-11 23:00:00-05:00,127.25,132.14999389648438,116.5,116.9000015258789,110347960
2025-05-18 23:00:00-05:00,121.8499984741211,128.4499969482422,116.0999984741211,125.80000305175781,133587900
2025-05-25 23:00:00-05:00,120.75,123.5999984741211,113.44999694824219,118.6500015258789,86781200
2025-06-01 23:00:00-05:00,120.0,120.9000015258789,109.69999694824219,111.75,97653360
2025-06-08 23:00:00-05:00,111.6500015258789,114.5999984741211,107.5999984741211,113.80000305175781,98699440
2025-06-15 23:00:00-05:00,111.5999984741211,115.30000305175781,108.44999694824219,114.1500015258789,75773800
2025-06-22 23:00:00-05:00,113.80000305175781,115.80000305175781,98.75,99.69999694824219,87453340
2025-06-29 23:00:00-05:00,98.0999984741211,101.6500015258789,95.0999984741211,95.6500015258789,57671520
2025-07-06 23:00:00-05:00,97.05000305175781,99.05000305175781,94.94999694824219,96.8499984741211,76706820
2025-07-13 23:00:00-05:00,97.05000305175781,98.3499984741211,92.5,93.5,85854840
2025-07-20 23:00:00-05:00,93.1500015258789,94.9000015258789,90.6500015258789,91.25,80248640
2025-07-27 23:00:00-05:00,90.6500015258789,98.8499984741211,87.44999694824219,97.5999984741211,114599280
2025-08-03 23:00:00-05:00,94.94999694824219,95.05000305175781,87.30000305175781,87.4000015258789,114923780
2025-08-10 23:00:00-05:00,87.4000015258789,88.8499984741211,83.55000305175781,86.3499984741211,102876160
2025-08-17 23:00:00-05:00,86.80000305175781,95.0,86.1500015258789,88.75,117983920
